URL,host,path,Length_of_url,Length_of_host,No_of_dots,avg_token_length,token_count,largest_token,avg_domain_token_length,domain_token_count,largest_domain,avg_path_token,path_token_count,largest_path,sec_sen_word_cnt,IPaddress_presence,Unicode_presence,No_of_delim,Hyphen_presence,At_presence,SubDir_presence,ASNno,malicious
//diaryofagameaddict.com,diaryofagameaddict.com,,24,22,1,10.5,2,18,10.5,2,18,0,0,0,0,0,0,0,0,0,2,25767,1
//espdesign.com.au,espdesign.com.au,,18,16,2,4.666666666666667,3,9,4.666666666666667,3,9,0,0,0,0,0,0,0,0,0,2,19994,1
//iamagameaddict.com,iamagameaddict.com,,20,18,1,8.5,2,14,8.5,2,14,0,0,0,0,0,0,0,0,0,2,25767,1
//kalantzis.net,kalantzis.net,,15,13,1,6.0,2,9,6.0,2,9,0,0,0,0,0,0,0,0,0,2,36218,1
//slightlyoffcenter.net,slightlyoffcenter.net,,23,21,1,10.0,2,17,10.0,2,17,0,0,0,0,0,0,0,0,0,2,25767,1
//toddscarwash.com,toddscarwash.com,,18,16,1,7.5,2,12,7.5,2,12,0,0,0,0,0,0,0,0,0,2,54540,1
//tubemoviez.com,tubemoviez.com,,16,14,1,6.5,2,10,6.5,2,10,0,0,0,0,0,0,0,0,0,2,-1,1
//ipl.hk,ipl.hk,,8,6,1,2.5,2,3,2.5,2,3,0,0,0,0,0,0,0,0,0,2,-1,1
//crackspider.us/toolbar/install.php?pack=exe,crackspider.us,/toolbar/install.php,45,14,2,5.285714285714286,7,11,6.5,2,11,5.666666666666667,3,7,0,0,0,2,0,0,4,-1,1
//pos-kupang.com/,pos-kupang.com,/,17,14,1,4.0,3,6,4.0,3,6,0,0,0,0,0,0,0,1,0,3,38532,1
//rupor.info,rupor.info,,12,10,1,4.5,2,5,4.5,2,5,0,0,0,0,0,0,0,0,0,2,24940,1
//svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt,svision-online.de,/mgfi/administrator/components/com_babackup/classes/fx29id1.txt,82,17,2,7.1,10,13,5.0,3,7,8.0,7,13,0,0,0,1,1,0,8,-1,1
//officeon.ch.ma/office.js?google_ad_format=728x90_as,officeon.ch.ma,/office.js,53,14,3,6.428571428571429,7,16,4.0,3,8,4.0,2,6,0,0,0,5,0,0,3,16276,1
//sn-gzzx.com,sn-gzzx.com,,13,11,1,3.0,3,4,3.0,3,4,0,0,0,0,0,0,0,1,0,2,-1,1
//sunlux.net/company/about.html,sunlux.net,/company/about.html,31,10,2,5.0,5,7,4.5,2,6,5.333333333333333,3,7,0,0,0,0,0,0,4,47846,1
//outporn.com,outporn.com,,13,11,1,5.0,2,7,5.0,2,7,0,0,0,0,0,0,0,0,0,2,32244,1
//timothycopus.aimoo.com,timothycopus.aimoo.com,,24,22,2,6.666666666666667,3,12,6.666666666666667,3,12,0,0,0,0,0,0,0,0,0,2,-1,1
//xindalawyer.com,xindalawyer.com,,17,15,1,7.0,2,11,7.0,2,11,0,0,0,0,0,0,0,0,0,2,-1,1
//freeserials.spb.ru/key/68703.htm,freeserials.spb.ru,/key/68703.htm,34,18,3,4.5,6,11,5.333333333333333,3,11,3.6666666666666665,3,5,0,0,0,0,0,0,4,25535,1
//deletespyware-adware.com,deletespyware-adware.com,,26,24,1,7.333333333333333,3,13,7.333333333333333,3,13,0,0,0,0,0,0,0,1,0,2,-1,1
//orbowlada.strefa.pl/text396.htm,orbowlada.strefa.pl,/text396.htm,33,19,3,5.4,5,9,5.666666666666667,3,9,5.0,2,7,0,0,0,0,0,0,3,16138,1
